description,category,dtc_code,vehicle_model,mileage_km,solution
Hızlanırken motor titriyor ve gaz tepkisi azaldı,Motor,P0300,Renault Megane,142000,Bujiler ve ateşleme bobini değiştirildi
"Gaz verince araç sarsılıyor, ivmelenmede güç kaybı var",Motor,P0300,Fiat Egea,98000,Buji ve buji kabloları yenilendi
İvmelenirken motorda titreşim ve tekleme hissediliyor,Motor,P0301,Volkswagen Passat,121000,1. silindir bobini değiştirildi
"Rölantide motor tekliyor, çalışırken zaman zaman sarsıntı oluyor",Motor,P0302,Ford Focus,87000,2. silindir bujisi ve enjektörü temizlendi
"Sabahları araç zor çalışıyor, marsa uzun basmak gerekiyor",Motor,,Toyota Corolla,156000,Yakıt pompası ve filtresi değiştirildi
"Soğukta motor geç ateşliyor, ilk çalıştırma uzun sürüyor",Motor,,Opel Astra,134000,Kızdırma bujileri yenilendi
Araç stop ettikten sonra tekrar zor çalışıyor,Motor,P0171,Hyundai i20,76000,"Hava akış sensörü temizlendi, fakir karışım düzeldi"
"Motor arıza lambası yandı, yakıt tüketimi arttı",Motor,P0171,Renault Clio,103000,"MAF sensörü değiştirildi, vakum kaçağı giderildi"
Egzozdan siyah duman geliyor ve yakıt sarfiyatı yükseldi,Motor,P0172,Peugeot 308,91000,"Enjektörler temizlendi, lambda sensörü değiştirildi"
"Rölanti devri dengesiz, motor düzensiz çalışıyor",Motor,P0505,Skoda Octavia,112000,Rölanti kontrol valfi (gaz kelebeği) temizlendi
"Motor hararet yapıyor, sıcaklık göstergesi kırmızıya çıkıyor",Motor,P0217,Fiat Doblo,167000,Termostat ve devirdaim pompası değiştirildi
"Trafikte beklerken hararet yükseliyor, fan geç devreye giriyor",Motor,,Dacia Duster,88000,Radyatör fan müşürü değiştirildi
Soğutma suyu eksiliyor ve motor ısınıyor,Motor,,Honda Civic,129000,"Radyatör peteğindeki sızıntı giderildi, hortum değişti"
"Motordan tıkırtı sesi geliyor, özellikle soğukken belirgin",Motor,,BMW 320i,145000,Hidrolik supap kaldırıcıları değiştirildi
"Yağ uyarı lambası yanıp sönüyor, motordan metalik ses var",Motor,P06DD,Mercedes C180,158000,Yağ pompası ve yağ basınç sensörü yenilendi
"Motor yağı çabuk eksiliyor, egzozdan mavi duman çıkıyor",Motor,,Volkswagen Golf,178000,Supap keçeleri ve segmanlar yenilendi
"Triger sesi geliyor, motordan ritmik takırtı duyuluyor",Motor,,Citroen C3,119000,Triger kayışı ve gergi rulmanı değiştirildi
"Turbo gücünü kaybetti, hızlanma çok zayıf",Motor,P0234,Nissan Qashqai,132000,Turbo aktüatörü ve kaçak yapan intercooler hortumu değişti
Çalışınca motordan ıslık gibi emme sesi geliyor,Motor,P0299,Renault Megane,96000,"Turbo düşük basınç hatası, hava kaçağı onarıldı"
Fren yaparken direksiyon ve pedal titriyor,Fren,,Ford Focus,92000,"Ön fren diskleri torna edildi, balatalar değişti"
Yüksek hızda fren basınca araçta titreşim oluyor,Fren,,Toyota Corolla,108000,Eğrilmiş ön diskler değiştirildi
Frene basınca volan zıplıyor ve sarsıntı geliyor,Fren,,Opel Astra,124000,Ön disk ve balata takımı yenilendi
"Fren yaparken ciyaklama, metalik gıcırtı sesi geliyor",Fren,,Fiat Egea,67000,Aşınmış ön balatalar değiştirildi
Yavaşlarken arka frenden gıcırtı duyuluyor,Fren,,Hyundai i20,84000,"Arka balatalar değişti, kampana temizlendi"
"Fren pedalı sertleşti, basmak için çok kuvvet gerekiyor",Fren,,Renault Clio,113000,Fren servo (hidrovac) ve vakum hortumu değiştirildi
Fren pedalı yumuşadı ve dibe kadar gidiyor,Fren,,Peugeot 308,139000,"Fren hidroliği yenilendi, hava alındı, ana merkez değişti"
"Fren pedalında boşluk var, fren tutması gecikiyor",Fren,,Dacia Duster,101000,"Fren hattı havası alındı, kaliper bakımı yapıldı"
ABS uyarı lambası yandı ve fren mesafesi uzadı,Fren,C0035,Volkswagen Passat,147000,Sol ön ABS tekerlek hız sensörü değiştirildi
Gösterge panelinde ABS ve fren ikazı birlikte yanıyor,Fren,C0040,Skoda Octavia,122000,Sağ ön ABS sensörü ve kablosu yenilendi
Frene basınca araç bir tarafa çekiyor,Fren,,Honda Civic,95000,Sıkışan ön kaliper revize edildi
"El freni çekmiyor, yokuşta araç kayıyor",Fren,,Citroen C3,131000,El freni teli ayarlandı ve arka balatalar değişti
Frenler ısınıyor ve yanık kokusu geliyor,Fren,,Fiat Doblo,152000,Sıkışan kaliper pistonu değiştirildi
"Yokuş inerken fren tutmuyor, performans düşük",Fren,,Nissan Qashqai,118000,Fren diskleri ve balataları komple yenilendi
"Fren lambası sürekli yanıyor, hidrolik seviyesi düşük",Fren,,BMW 320i,87000,"Fren hidroliği kaçağı giderildi, seviye tamamlandı"
Bozuk yolda ön taraftan takırtı sesi geliyor,Süspansiyon,,Renault Megane,134000,Ön rotbaşları ve z rot kollar değiştirildi
Engebeli yolda ön düzenden tıkırtı ve gürültü var,Süspansiyon,,Fiat Egea,109000,Salıncak burçları ve rotil değişti
Hız kasisinden geçerken alttan kütleme sesi geliyor,Süspansiyon,,Ford Focus,121000,Amortisör takozları ve rotbaşı yenilendi
"Araç yolda sağa sola yalpalıyor, sürüş konforu bozuldu",Süspansiyon,,Opel Astra,143000,Dört amortisör birden değiştirildi
Viraja girince araç fazla yatıyor ve sallanıyor,Süspansiyon,,Toyota Corolla,156000,Ön ve arka denge çubuğu burçları değişti
"Direksiyon boşta geziyor, yolda araç dengesiz",Süspansiyon,,Hyundai i20,88000,"Rotbaşı ve rotil değişti, rot ayarı yapıldı"
Lastikler düzensiz ve tek taraftan aşınıyor,Süspansiyon,,Volkswagen Golf,97000,"Ön düzen ayarı (rot balans) yapıldı, salıncak değişti"
"Direksiyon titriyor, belli hızda volan oynuyor",Süspansiyon,,Peugeot 308,112000,Tekerlek balans ayarı ve rot balans yapıldı
"Aracın arkası çökük duruyor, dolu yükte daha da iniyor",Süspansiyon,,Dacia Duster,128000,Arka helezon yaylar değiştirildi
Yavaş hızda bile araç aşırı zıplıyor,Süspansiyon,,Renault Clio,105000,Ön amortisörler değiştirildi
Hızlanırken arkadan gıcırtı ve yaylanma sesi geliyor,Süspansiyon,,Skoda Octavia,117000,Arka amortisör ve takozlar yenilendi
"Yol tutuşu bozuldu, araç çukurlarda sektiriyor",Süspansiyon,,Honda Civic,141000,Amortisör ve denge çubuğu rotili değişti
Direksiyondan tok darbe sesi geliyor kasislerde,Süspansiyon,,Citroen C3,99000,Kolon rulmanı (strut bearing) değiştirildi
"Ön tekerden gıcırtı, manevrada belirginleşiyor",Süspansiyon,,Nissan Qashqai,126000,"Salıncak rotili gresi yenilendi, burç değişti"
Frenle birlikte ön süspansiyon sesi artıyor,Süspansiyon,,Fiat Doblo,137000,Amortisör takozu ve rotbaşı değiştirildi
"Aracın önü inip kalkıyor, süzülme hissi var",Süspansiyon,,BMW 320i,149000,Ön amortisörler ve yaylar yenilendi
Otomatik şanzıman vites geçişlerinde sertçe vuruyor,Şanzıman,P0700,Volkswagen Passat,138000,"Şanzıman yağı ve filtresi değişti, yazılım güncellendi"
Vites değişirken araç zıplıyor ve darbe hissediliyor,Şanzıman,P0700,Mercedes C180,142000,"ATF yağı yenilendi, mekatronik revize edildi"
"Otomatik vites geç atıyor, geçişler sarsıntılı",Şanzıman,P0730,BMW 320i,127000,"Şanzıman adaptasyonu sıfırlandı, yağ değişti"
"Manuel viteste debriyaj kaçırıyor, devir yükseliyor güç gitmiyor",Şanzıman,,Fiat Egea,134000,Debriyaj baskı balata seti değiştirildi
"Vitese takarken zorlanıyor, geri vites zor giriyor",Şanzıman,,Renault Megane,119000,Debriyaj merkezi ve hidrolik hattı yenilendi
"Debriyaja basınca ses geliyor, pedal ağırlaştı",Şanzıman,,Ford Focus,108000,Debriyaj rulmanı (bilya) değiştirildi
Şanzımandan yağ sızıyor ve uğultu sesi geliyor,Şanzıman,,Opel Astra,151000,"Şanzıman keçesi değişti, yağ tamamlandı"
